Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
AREA # 010101,Myitkyina,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),154134,33811,187945
 Associate Scrutiny Card (blue),1125,28,1153
 Naturalised Scrutiny Card (green),1582,103,1685
 National Registration Card (3-fold),1009,438,1447
 Religious card,729,103,832
 Temporary Registration Card (white),1545,373,1918
 Foreign Registration Card (FRC),352,6,358
 Foreign Passport,103,6,109
 None,39483,14622,54105
 Child under 10 years,42969,14428,57397
 Total,243031,63918,306949
AREA # 010102,Waingmaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13017,44543,57560
 Associate Scrutiny Card (blue),23,65,88
 Naturalised Scrutiny Card (green),51,327,378
 National Registration Card (3-fold),141,658,799
 Religious card,65,72,137
 Temporary Registration Card (white),36,404,440
 Foreign Registration Card (FRC),8,137,145
 Foreign Passport,4,16,20
 None,4106,18436,22542
 Child under 10 years,4518,19739,24257
 Total,21969,84397,106366
AREA # 010103,Ingyanyan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),272,725,997
 National Registration Card (3-fold),-,1,1
 Temporary Registration Card (white),1,1,2
 None,56,266,322
 Child under 10 years,116,294,410
 Total,445,1287,1732
AREA # 010104,Tanaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),18431,7868,26299
 Associate Scrutiny Card (blue),15,1,16
 Naturalised Scrutiny Card (green),71,21,92
 National Registration Card (3-fold),222,347,569
 Religious card,28,31,59
 Temporary Registration Card (white),116,71,187
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,2,11,13
 None,6297,4468,10765
 Child under 10 years,6815,3750,10565
 Total,31998,16568,48566
AREA # 010105,Chiphwe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),996,3747,4743
 Associate Scrutiny Card (blue),-,4,4
 Naturalised Scrutiny Card (green),-,4,4
 National Registration Card (3-fold),11,58,69
 Religious card,1,6,7
 Temporary Registration Card (white),8,95,103
 Foreign Registration Card (FRC),-,33,33
 Foreign Passport,-,11,11
 None,178,2975,3153
 Child under 10 years,373,2803,3176
 Total,1567,9736,11303
AREA # 010106,Hsotlaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),220,2877,3097
 Naturalised Scrutiny Card (green),-,3,3
 National Registration Card (3-fold),2,16,18
 Religious card,1,2,3
 Temporary Registration Card (white),-,5,5
 None,45,1413,1458
 Child under 10 years,100,1834,1934
 Total,368,6150,6518
AREA # 010151,Hsinbo(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2295,4273,6568
 Associate Scrutiny Card (blue),-,3,3
 Naturalised Scrutiny Card (green),2,5,7
 National Registration Card (3-fold),2,27,29
 Religious card,13,24,37
 Temporary Registration Card (white),40,6,46
 Foreign Passport,2,-,2
 None,431,1226,1657
 Child under 10 years,690,1616,2306
 Total,3475,7180,10655
AREA # 010152,Hsadone(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1949,3321,5270
 Associate Scrutiny Card (blue),5,1,6
 Naturalised Scrutiny Card (green),107,49,156
 National Registration Card (3-fold),11,33,44
 Religious card,-,1,1
 Temporary Registration Card (white),41,34,75
 Foreign Registration Card (FRC),20,-,20
 Foreign Passport,113,2,115
 None,547,1794,2341
 Child under 10 years,741,1727,2468
 Total,3534,6962,10496
AREA # 010153,Kanpaikti(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),597,2498,3095
 Associate Scrutiny Card (blue),1,7,8
 Naturalised Scrutiny Card (green),70,248,318
 National Registration Card (3-fold),9,58,67
 Temporary Registration Card (white),3,75,78
 Foreign Registration Card (FRC),1,9,10
 Foreign Passport,26,93,119
 None,263,2835,3098
 Child under 10 years,183,1706,1889
 Total,1153,7529,8682
AREA # 010154,Shinbwayyan(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3488,3313,6801
 Naturalised Scrutiny Card (green),7,-,7
 National Registration Card (3-fold),97,27,124
 Religious card,14,5,19
 Temporary Registration Card (white),46,3,49
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,1,-,1
 None,698,1004,1702
 Child under 10 years,1064,1684,2748
 Total,5417,6036,11453
AREA # 010155,Panwa(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),726,2649,3375
 Naturalised Scrutiny Card (green),2,4,6
 National Registration Card (3-fold),-,27,27
 Religious card,2,-,2
 Temporary Registration Card (white),1,9,10
 Foreign Registration Card (FRC),40,19,59
 Foreign Passport,10,18,28
 None,218,2699,2917
 Child under 10 years,224,2088,2312
 Total,1223,7513,8736
AREA # 010201,Mohnyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),21990,72929,94919
 Associate Scrutiny Card (blue),108,56,164
 Naturalised Scrutiny Card (green),119,218,337
 National Registration Card (3-fold),211,1162,1373
 Religious card,167,814,981
 Temporary Registration Card (white),78,555,633
 Foreign Registration Card (FRC),4,5,9
 Foreign Passport,10,20,30
 None,5233,25204,30437
 Child under 10 years,5370,26345,31715
 Total,33290,127308,160598
AREA # 010202,Mogaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15442,60568,76010
