Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
AREA # 010101,Myitkyina,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,442,75,517
 Water seal (Improved pit latrine),35299,6411,41710
 Pit (Traditional pit latrine),3772,4105,7877
 Bucket (Surface latrine),71,71,142
 Other,29,57,86
 No toilet,55,196,251
 Total,39668,10915,50583
NotApp :,1258,*,*
AREA # 010102,Waingmaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,51,100,151
 Water seal (Improved pit latrine),3523,12949,16472
 Pit (Traditional pit latrine),205,2002,2207
 Bucket (Surface latrine),1,69,70
 Other,24,366,390
 No toilet,16,474,490
 Total,3820,15960,19780
NotApp :,241,*,*
AREA # 010103,Ingyanyan,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Water seal (Improved pit latrine),41,89,130
 Pit (Traditional pit latrine),32,84,116
 Bucket (Surface latrine),-,9,9
 No toilet,5,25,30
 Total,78,207,285
NotApp :,35,*,*
AREA # 010104,Tanaing,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,165,9,174
 Water seal (Improved pit latrine),3413,2205,5618
 Pit (Traditional pit latrine),94,425,519
 Bucket (Surface latrine),1,29,30
 Other,3,13,16
 No toilet,18,23,41
 Total,3694,2704,6398
NotApp :,303,*,*
AREA # 010105,Chiphwe,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,5,6,11
 Water seal (Improved pit latrine),292,650,942
 Pit (Traditional pit latrine),13,359,372
 Bucket (Surface latrine),1,299,300
 Other,6,156,162
 No toilet,12,132,144
 Total,329,1602,1931
NotApp :,11,*,*
AREA # 010106,Hsotlaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,4,4
 Water seal (Improved pit latrine),41,216,257
 Pit (Traditional pit latrine),23,544,567
 Bucket (Surface latrine),-,91,91
 Other,1,63,64
 No toilet,1,89,90
 Total,66,1007,1073
NotApp :,4,*,*
AREA # 010151,Hsinbo(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,1,1
 Water seal (Improved pit latrine),677,1064,1741
 Pit (Traditional pit latrine),12,153,165
 Bucket (Surface latrine),1,5,6
 Other,3,10,13
 No toilet,11,71,82
 Total,704,1304,2008
NotApp :,80,*,*
AREA # 010152,Hsadone(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,7,2,9
 Water seal (Improved pit latrine),478,765,1243
 Pit (Traditional pit latrine),16,220,236
 Bucket (Surface latrine),2,16,18
 Other,2,3,5
 No toilet,5,94,99
 Total,510,1100,1610
NotApp :,9,*,*
AREA # 010153,Kanpaikti(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,1,2
 Water seal (Improved pit latrine),163,489,652
