Activity_status,Sex_Male,Sex_Female,Sex_Total
AREA # 010101,Myitkyina,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8357,4967,13324
" Employee (Private, Org)",23423,12643,36066
 Employer,2816,1161,3977
 Own account worker,32207,17578,49785
 Contributing family worker,4430,4115,8545
 Sought work,4614,2543,7157
 Did not seek work,696,332,1028
 Full time student,26715,29431,56146
 Household work,3439,44511,47950
" Pensioner, retired, elderly person",4992,8012,13004
" Ill, disabled",989,938,1927
 Other,6704,3939,10643
 Total,119382,130170,249552
NotApp :,57397,*,*
AREA # 010102,Waingmaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),909,796,1705
" Employee (Private, Org)",6091,2444,8535
 Employer,801,294,1095
 Own account worker,15076,7267,22343
 Contributing family worker,3778,3970,7748
 Sought work,1335,654,1989
 Did not seek work,127,72,199
 Full time student,8161,8851,17012
 Household work,1043,13309,14352
" Pensioner, retired, elderly person",1346,2598,3944
" Ill, disabled",325,339,664
 Other,1513,1010,2523
 Total,40505,41604,82109
NotApp :,24257,*,*
AREA # 010103,Ingyanyan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),56,24,80
" Employee (Private, Org)",184,33,217
 Employer,31,2,33
 Own account worker,219,86,305
 Contributing family worker,89,233,322
 Sought work,1,1,2
 Full time student,127,132,259
 Household work,2,48,50
" Pensioner, retired, elderly person",9,21,30
" Ill, disabled",4,-,4
 Other,10,10,20
 Total,732,590,1322
NotApp :,410,*,*
AREA # 010104,Tanaing,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),979,312,1291
" Employee (Private, Org)",2885,912,3797
 Employer,532,157,689
 Own account worker,9358,4214,13572
 Contributing family worker,1761,2181,3942
 Sought work,403,194,597
 Did not seek work,29,19,48
 Full time student,3345,3377,6722
 Household work,225,5299,5524
" Pensioner, retired, elderly person",374,706,1080
" Ill, disabled",84,85,169
 Other,359,211,570
 Total,20334,17667,38001
NotApp :,10565,*,*
AREA # 010105,Chiphwe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),498,152,650
" Employee (Private, Org)",221,43,264
 Employer,67,33,100
 Own account worker,1394,749,2143
 Contributing family worker,557,567,1124
 Sought work,143,103,246
 Did not seek work,42,45,87
 Full time student,813,721,1534
 Household work,190,1088,1278
" Pensioner, retired, elderly person",109,177,286
" Ill, disabled",17,25,42
 Other,212,161,373
 Total,4263,3864,8127
NotApp :,3176,*,*
AREA # 010106,Hsotlaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),67,53,120
" Employee (Private, Org)",74,28,102
 Employer,11,4,15
 Own account worker,929,627,1556
 Contributing family worker,555,485,1040
 Sought work,56,10,66
 Did not seek work,5,3,8
 Full time student,489,478,967
 Household work,29,409,438
" Pensioner, retired, elderly person",39,62,101
" Ill, disabled",17,15,32
 Other,90,49,139
 Total,2361,2223,4584
NotApp :,1934,*,*
AREA # 010151,Hsinbo(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),239,63,302
" Employee (Private, Org)",386,145,531
 Employer,136,18,154
 Own account worker,1817,811,2628
 Contributing family worker,717,462,1179
 Sought work,77,22,99
 Did not seek work,7,2,9
 Full time student,650,668,1318
 Household work,47,1406,1453
" Pensioner, retired, elderly person",111,218,329
" Ill, disabled",30,18,48
 Other,181,118,299
 Total,4398,3951,8349
NotApp :,2306,*,*
AREA # 010152,Hsadone(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),55,58,113
" Employee (Private, Org)",215,60,275
 Employer,26,17,43
 Own account worker,1593,607,2200
 Contributing family worker,449,664,1113
 Sought work,206,188,394
 Did not seek work,18,17,35
 Full time student,1025,1042,2067
 Household work,134,1083,1217
" Pensioner, retired, elderly person",124,196,320
" Ill, disabled",33,31,64
 Other,115,72,187
 Total,3993,4035,8028
NotApp :,2468,*,*
AREA # 010153,Kanpaikti(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),291,34,325
" Employee (Private, Org)",221,135,356
 Employer,32,9,41
 Own account worker,1190,311,1501
 Contributing family worker,691,949,1640
 Sought work,159,100,259
 Did not seek work,11,14,25
 Full time student,612,531,1143
 Household work,134,863,997
" Pensioner, retired, elderly person",86,131,217
" Ill, disabled",15,16,31
 Other,157,101,258
 Total,3599,3194,6793
NotApp :,1889,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),80,50,130
" Employee (Private, Org)",1147,184,1331
 Employer,172,20,192
 Own account worker,2010,794,2804
 Contributing family worker,336,493,829
 Sought work,67,18,85
 Did not seek work,62,5,67
 Full time student,687,690,1377
 Household work,103,1430,1533
" Pensioner, retired, elderly person",68,152,220
" Ill, disabled",17,13,30
 Other,73,34,107
 Total,4822,3883,8705
NotApp :,2748,*,*
AREA # 010155,Panwa(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),273,32,305
" Employee (Private, Org)",231,111,342
 Employer,23,16,39
 Own account worker,1053,592,1645
 Contributing family worker,559,566,1125
 Sought work,315,158,473
 Did not seek work,37,18,55
 Full time student,567,462,1029
 Household work,62,854,916
" Pensioner, retired, elderly person",65,118,183
" Ill, disabled",44,40,84
 Other,120,108,228
 Total,3349,3075,6424
NotApp :,2312,*,*
AREA # 010201,Mohnyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2385,2083,4468
" Employee (Private, Org)",12089,4009,16098
 Employer,2053,660,2713
 Own account worker,20501,9327,29828
 Contributing family worker,5784,5925,11709
 Sought work,1619,1206,2825
 Did not seek work,261,125,386
 Full time student,11273,13277,24550
 Household work,654,23281,23935
" Pensioner, retired, elderly person",2609,5019,7628
" Ill, disabled",319,305,624
 Other,3061,1058,4119
 Total,62608,66275,128883
NotApp :,31715,*,*
AREA # 010202,Mogaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2768,1469,4237
" Employee (Private, Org)",7637,2820,10457
