Identity_card,Sex_Male,Sex_Female,Sex_Total
AREA # 010101,Myitkyina,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),89051,98894,187945
 Associate Scrutiny Card (blue),571,582,1153
 Naturalised Scrutiny Card (green),878,807,1685
 National Registration Card (3-fold),596,851,1447
 Religious card,751,81,832
 Temporary Registration Card (white),865,1053,1918
 Foreign Registration Card (FRC),188,170,358
 Foreign Passport,84,25,109
 None,26398,27707,54105
 Child under 10 years,29103,28294,57397
 Total,148485,158464,306949
AREA # 010102,Waingmaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28365,29195,57560
 Associate Scrutiny Card (blue),44,44,88
 Naturalised Scrutiny Card (green),207,171,378
 National Registration Card (3-fold),303,496,799
 Religious card,105,32,137
 Temporary Registration Card (white),224,216,440
 Foreign Registration Card (FRC),76,69,145
 Foreign Passport,10,10,20
 None,11171,11371,22542
 Child under 10 years,12193,12064,24257
 Total,52698,53668,106366
AREA # 010103,Ingyanyan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),556,441,997
 National Registration Card (3-fold),-,1,1
 Temporary Registration Card (white),2,-,2
 None,174,148,322
 Child under 10 years,214,196,410
 Total,946,786,1732
AREA # 010104,Tanaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),14040,12259,26299
 Associate Scrutiny Card (blue),9,7,16
 Naturalised Scrutiny Card (green),65,27,92
 National Registration Card (3-fold),311,258,569
 Religious card,53,6,59
 Temporary Registration Card (white),94,93,187
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,7,6,13
 None,5755,5010,10765
 Child under 10 years,5439,5126,10565
 Total,25773,22793,48566
AREA # 010105,Chiphwe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2589,2154,4743
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),2,2,4
 National Registration Card (3-fold),25,44,69
 Religious card,5,2,7
 Temporary Registration Card (white),46,57,103
 Foreign Registration Card (FRC),32,1,33
 Foreign Passport,5,6,11
 None,1557,1596,3153
 Child under 10 years,1568,1608,3176
 Total,5831,5472,11303
AREA # 010106,Hsotlaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1611,1486,3097
 Naturalised Scrutiny Card (green),3,-,3
 National Registration Card (3-fold),8,10,18
 Religious card,3,-,3
 Temporary Registration Card (white),4,1,5
 None,732,726,1458
 Child under 10 years,990,944,1934
 Total,3351,3167,6518
AREA # 010151,Hsinbo(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3395,3173,6568
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),7,-,7
 National Registration Card (3-fold),15,14,29
 Religious card,31,6,37
 Temporary Registration Card (white),27,19,46
 Foreign Passport,2,-,2
 None,919,738,1657
 Child under 10 years,1164,1142,2306
 Total,5562,5093,10655
AREA # 010152,Hsadone(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2583,2687,5270
 Associate Scrutiny Card (blue),5,1,6
 Naturalised Scrutiny Card (green),83,73,156
 National Registration Card (3-fold),17,27,44
 Religious card,-,1,1
 Temporary Registration Card (white),33,42,75
 Foreign Registration Card (FRC),11,9,20
 Foreign Passport,92,23,115
 None,1169,1172,2341
 Child under 10 years,1246,1222,2468
 Total,5239,5257,10496
AREA # 010153,Kanpaikti(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1582,1513,3095
 Associate Scrutiny Card (blue),5,3,8
 Naturalised Scrutiny Card (green),175,143,318
 National Registration Card (3-fold),41,26,67
 Temporary Registration Card (white),39,39,78
 Foreign Registration Card (FRC),7,3,10
 Foreign Passport,101,18,119
 None,1649,1449,3098
 Child under 10 years,929,960,1889
 Total,4528,4154,8682
AREA # 010154,Shinbwayyan(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3800,3001,6801
 Naturalised Scrutiny Card (green),6,1,7
 National Registration Card (3-fold),75,49,124
 Religious card,16,3,19
 Temporary Registration Card (white),29,20,49
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,-,1
 None,895,807,1702
 Child under 10 years,1384,1364,2748
 Total,6206,5247,11453
AREA # 010155,Panwa(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1800,1575,3375
 Naturalised Scrutiny Card (green),4,2,6
 National Registration Card (3-fold),11,16,27
 Religious card,2,-,2
 Temporary Registration Card (white),6,4,10
 Foreign Registration Card (FRC),39,20,59
 Foreign Passport,16,12,28
 None,1471,1446,2917
 Child under 10 years,1120,1192,2312
 Total,4469,4267,8736
AREA # 010201,Mohnyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),45098,49821,94919
 Associate Scrutiny Card (blue),93,71,164
 Naturalised Scrutiny Card (green),217,120,337
 National Registration Card (3-fold),573,800,1373
 Religious card,883,98,981
 Temporary Registration Card (white),348,285,633
 Foreign Registration Card (FRC),4,5,9
 Foreign Passport,19,11,30
 None,15373,15064,30437
 Child under 10 years,16187,15528,31715
 Total,78795,81803,160598
AREA # 010202,Mogaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34714,41296,76010
 Associate Scrutiny Card (blue),106,129,235
 Naturalised Scrutiny Card (green),132,154,286
 National Registration Card (3-fold),248,450,698
 Religious card,395,55,450
 Temporary Registration Card (white),196,214,410
 Foreign Registration Card (FRC),13,17,30
 Foreign Passport,11,10,21
 None,13502,13373,26875
 Child under 10 years,14184,13409,27593
 Total,63501,69107,132608
AREA # 010203,Phakant,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),147930,65893,213823
 Associate Scrutiny Card (blue),178,76,254
 Naturalised Scrutiny Card (green),820,205,1025
 National Registration Card (3-fold),1762,1147,2909
 Religious card,487,138,625
 Temporary Registration Card (white),2336,2091,4427
 Foreign Registration Card (FRC),13,8,21
 Foreign Passport,24,20,44
 None,25364,20469,45833
 Child under 10 years,22119,21198,43317
 Total,201033,111245,312278
AREA # 010251,Hopin(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),14023,17513,31536
 Associate Scrutiny Card (blue),22,44,66
 Naturalised Scrutiny Card (green),59,74,133
 National Registration Card (3-fold),73,124,197
 Religious card,254,35,289
 Temporary Registration Card (white),95,114,209
 Foreign Registration Card (FRC),8,5,13
 Foreign Passport,-,1,1
 None,3576,3487,7063
 Child under 10 years,4693,4494,9187
 Total,22803,25891,48694
AREA # 010252,Kamine(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5253,5231,10484
 Associate Scrutiny Card (blue),4,3,7
 Naturalised Scrutiny Card (green),17,13,30
 National Registration Card (3-fold),56,72,128
 Religious card,51,3,54
 Temporary Registration Card (white),82,85,167
 Foreign Passport,1,-,1
 None,1862,1964,3826
 Child under 10 years,2364,2369,4733
 Total,9690,9740,19430
AREA # 010301,Bhamo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),39226,42429,81655
 Associate Scrutiny Card (blue),55,61,116
 Naturalised Scrutiny Card (green),166,126,292
 National Registration Card (3-fold),258,494,752
 Religious card,564,189,753
 Temporary Registration Card (white),494,648,1142
 Foreign Registration Card (FRC),14,15,29
 Foreign Passport,23,19,42
 None,12381,12210,24591
 Child under 10 years,13537,12968,26505
 Total,66718,69159,135877
AREA # 010302,Shwegu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),23948,25307,49255
 Associate Scrutiny Card (blue),24,29,53
 Naturalised Scrutiny Card (green),72,55,127
 National Registration Card (3-fold),107,156,263
 Religious card,318,22,340
 Temporary Registration Card (white),232,282,514
 Foreign Registration Card (FRC),2,8,10
 Foreign Passport,13,4,17
 None,10786,10450,21236
 Child under 10 years,9560,9316,18876
 Total,45062,45629,90691
AREA # 010303,Momauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),11832,12580,24412
 Associate Scrutiny Card (blue),47,20,67
 Naturalised Scrutiny Card (green),50,32,82
 National Registration Card (3-fold),167,340,507
 Religious card,96,59,155
 Temporary Registration Card (white),63,125,188
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,51,2,53
 None,3645,3815,7460
 Child under 10 years,4296,4341,8637
 Total,20248,21314,41562
AREA # 010304,Mansi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),14479,14942,29421
 Associate Scrutiny Card (blue),14,13,27
