Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,10016,1225,11241,Dagon Myothit(East),MMR013020
 Grade 1,3336,245,3581,Dagon Myothit(East),MMR013020
 Grade 2,4580,331,4911,Dagon Myothit(East),MMR013020
 Grade 3,6601,612,7213,Dagon Myothit(East),MMR013020
 Grade 4,10577,878,11455,Dagon Myothit(East),MMR013020
 Grade 5,18708,1910,20618,Dagon Myothit(East),MMR013020
 Grade 6,9725,647,10372,Dagon Myothit(East),MMR013020
 Grade 7,7918,467,8385,Dagon Myothit(East),MMR013020
 Grade 8,10084,416,10500,Dagon Myothit(East),MMR013020
 Grade 9,11903,501,12404,Dagon Myothit(East),MMR013020
 Grade 10,13987,387,14374,Dagon Myothit(East),MMR013020
 Grade 11,16566,522,17088,Dagon Myothit(East),MMR013020
 College,5595,155,5750,Dagon Myothit(East),MMR013020
 Vocational training,274,3,277,Dagon Myothit(East),MMR013020
 Undergraduate diploma,454,14,468,Dagon Myothit(East),MMR013020
 Graduate,13202,190,13392,Dagon Myothit(East),MMR013020
 Postgraduate diploma,359,3,362,Dagon Myothit(East),MMR013020
 Master degree,279,5,284,Dagon Myothit(East),MMR013020
 PhD,63,2,65,Dagon Myothit(East),MMR013020
 Other,299,-,299,Dagon Myothit(East),MMR013020
 Total,144526,8513,153039,Dagon Myothit(East),MMR013020
