Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),373,323,696,Leiktho(ST),MMR003004
" Employee (Private, Org)",595,254,849,Leiktho(ST),MMR003004
 Employer,218,69,287,Leiktho(ST),MMR003004
 Own account worker,9220,2953,12173,Leiktho(ST),MMR003004
 Contributing family worker,2132,2326,4458,Leiktho(ST),MMR003004
 Sought work,733,442,1175,Leiktho(ST),MMR003004
 Did not seek work,76,47,123,Leiktho(ST),MMR003004
 Full time student,2931,3141,6072,Leiktho(ST),MMR003004
 Household work,246,6454,6700,Leiktho(ST),MMR003004
" Pensioner, retired, elderly person",464,687,1151,Leiktho(ST),MMR003004
" Ill, disabled",135,126,261,Leiktho(ST),MMR003004
 Other,584,470,1054,Leiktho(ST),MMR003004
 Total,17707,17292,34999,Leiktho(ST),MMR003004
