Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1565,2620,4185,Sangyoung,MMR013039
" Employee (Private, Org)",12642,11982,24624,Sangyoung,MMR013039
 Employer,1174,683,1857,Sangyoung,MMR013039
 Own account worker,7207,4495,11702,Sangyoung,MMR013039
 Contributing family worker,1123,873,1996,Sangyoung,MMR013039
 Sought work,1507,1099,2606,Sangyoung,MMR013039
 Did not seek work,191,199,390,Sangyoung,MMR013039
 Full time student,6448,6579,13027,Sangyoung,MMR013039
 Household work,471,15420,15891,Sangyoung,MMR013039
" Pensioner, retired, elderly person",3884,4890,8774,Sangyoung,MMR013039
" Ill, disabled",250,247,497,Sangyoung,MMR013039
 Other,3153,2394,5547,Sangyoung,MMR013039
 Total,39615,51481,91096,Sangyoung,MMR013039
