Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3183,1992,5175,Bhamo,MMR001010
" Employee (Private, Org)",8054,3720,11774,Bhamo,MMR001010
 Employer,995,463,1458,Bhamo,MMR001010
 Own account worker,18708,12938,31646,Bhamo,MMR001010
 Contributing family worker,5316,5854,11170,Bhamo,MMR001010
 Sought work,1191,707,1898,Bhamo,MMR001010
 Did not seek work,158,79,237,Bhamo,MMR001010
 Full time student,9359,10359,19718,Bhamo,MMR001010
 Household work,859,14556,15415,Bhamo,MMR001010
" Pensioner, retired, elderly person",2288,3980,6268,Bhamo,MMR001010
" Ill, disabled",391,364,755,Bhamo,MMR001010
 Other,2679,1179,3858,Bhamo,MMR001010
 Total,53181,56191,109372,Bhamo,MMR001010
