Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2454,307,2761,Laukine,MMR015022
" Employee (Private, Org)",5667,3429,9096,Laukine,MMR015022
 Employer,1090,458,1548,Laukine,MMR015022
 Own account worker,12322,4356,16678,Laukine,MMR015022
 Contributing family worker,4998,4281,9279,Laukine,MMR015022
 Sought work,992,629,1621,Laukine,MMR015022
 Did not seek work,310,223,533,Laukine,MMR015022
 Full time student,5441,4610,10051,Laukine,MMR015022
 Household work,598,10611,11209,Laukine,MMR015022
" Pensioner, retired, elderly person",1438,2233,3671,Laukine,MMR015022
" Ill, disabled",178,144,322,Laukine,MMR015022
 Other,2033,1551,3584,Laukine,MMR015022
 Total,37521,32832,70353,Laukine,MMR015022
