Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4999,2544,7543,Minbu,MMR009007
" Employee (Private, Org)",17563,12259,29822,Minbu,MMR009007
 Employer,2369,952,3321,Minbu,MMR009007
 Own account worker,20831,13253,34084,Minbu,MMR009007
 Contributing family worker,5466,9276,14742,Minbu,MMR009007
 Sought work,1890,1536,3426,Minbu,MMR009007
 Did not seek work,250,123,373,Minbu,MMR009007
 Full time student,10023,10583,20606,Minbu,MMR009007
 Household work,890,25911,26801,Minbu,MMR009007
" Pensioner, retired, elderly person",4306,5899,10205,Minbu,MMR009007
" Ill, disabled",544,574,1118,Minbu,MMR009007
 Other,3264,1468,4732,Minbu,MMR009007
 Total,72395,84378,156773,Minbu,MMR009007
