Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3941,3042,6983,Thazi,MMR010030
" Employee (Private, Org)",14860,9678,24538,Thazi,MMR010030
 Employer,2018,922,2940,Thazi,MMR010030
 Own account worker,25809,12312,38121,Thazi,MMR010030
 Contributing family worker,7060,10945,18005,Thazi,MMR010030
 Sought work,2575,2077,4652,Thazi,MMR010030
 Did not seek work,300,263,563,Thazi,MMR010030
 Full time student,10757,10716,21473,Thazi,MMR010030
 Household work,1134,30741,31875,Thazi,MMR010030
" Pensioner, retired, elderly person",3968,5599,9567,Thazi,MMR010030
" Ill, disabled",589,607,1196,Thazi,MMR010030
 Other,3074,1279,4353,Thazi,MMR010030
 Total,76085,88181,164266,Thazi,MMR010030
