Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1321,1194,2515,Gyobingauk,MMR008014
" Employee (Private, Org)",11152,2916,14068,Gyobingauk,MMR008014
 Employer,5222,919,6141,Gyobingauk,MMR008014
 Own account worker,10907,2926,13833,Gyobingauk,MMR008014
 Contributing family worker,2649,2682,5331,Gyobingauk,MMR008014
 Sought work,3822,2282,6104,Gyobingauk,MMR008014
 Did not seek work,125,77,202,Gyobingauk,MMR008014
 Full time student,4622,4815,9437,Gyobingauk,MMR008014
 Household work,550,29529,30079,Gyobingauk,MMR008014
" Pensioner, retired, elderly person",2599,3847,6446,Gyobingauk,MMR008014
" Ill, disabled",339,314,653,Gyobingauk,MMR008014
 Other,3981,2067,6048,Gyobingauk,MMR008014
 Total,47289,53568,100857,Gyobingauk,MMR008014
