Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1356,742,2098,Pinlaung,MMR014009
" Employee (Private, Org)",3801,1478,5279,Pinlaung,MMR014009
 Employer,316,166,482,Pinlaung,MMR014009
 Own account worker,19783,13790,33573,Pinlaung,MMR014009
 Contributing family worker,10225,15973,26198,Pinlaung,MMR014009
 Sought work,383,439,822,Pinlaung,MMR014009
 Did not seek work,88,60,148,Pinlaung,MMR014009
 Full time student,6311,6888,13199,Pinlaung,MMR014009
 Household work,205,3392,3597,Pinlaung,MMR014009
" Pensioner, retired, elderly person",1575,2550,4125,Pinlaung,MMR014009
" Ill, disabled",277,249,526,Pinlaung,MMR014009
 Other,1366,444,1810,Pinlaung,MMR014009
 Total,45686,46171,91857,Pinlaung,MMR014009
