Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),456,49,505,Minekoke(ST),MMR016006
" Employee (Private, Org)",494,67,561,Minekoke(ST),MMR016006
 Employer,73,18,91,Minekoke(ST),MMR016006
 Own account worker,3187,1355,4542,Minekoke(ST),MMR016006
 Contributing family worker,1642,1293,2935,Minekoke(ST),MMR016006
 Sought work,23,21,44,Minekoke(ST),MMR016006
 Did not seek work,85,76,161,Minekoke(ST),MMR016006
 Full time student,318,299,617,Minekoke(ST),MMR016006
 Household work,149,2348,2497,Minekoke(ST),MMR016006
" Pensioner, retired, elderly person",106,173,279,Minekoke(ST),MMR016006
" Ill, disabled",13,11,24,Minekoke(ST),MMR016006
 Other,212,117,329,Minekoke(ST),MMR016006
 Total,6758,5827,12585,Minekoke(ST),MMR016006
