Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),462,614,1076,Banmauk,MMR005023
" Employee (Private, Org)",11598,3436,15034,Banmauk,MMR005023
 Employer,1440,271,1711,Banmauk,MMR005023
 Own account worker,16463,5622,22085,Banmauk,MMR005023
 Contributing family worker,3985,6167,10152,Banmauk,MMR005023
 Sought work,526,484,1010,Banmauk,MMR005023
 Did not seek work,125,77,202,Banmauk,MMR005023
 Full time student,5736,6458,12194,Banmauk,MMR005023
 Household work,368,15623,15991,Banmauk,MMR005023
" Pensioner, retired, elderly person",1931,3584,5515,Banmauk,MMR005023
" Ill, disabled",188,175,363,Banmauk,MMR005023
 Other,1002,339,1341,Banmauk,MMR005023
 Total,43824,42850,86674,Banmauk,MMR005023
