Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1477,1650,3127,Thanbyuzayat,MMR011004
" Employee (Private, Org)",22991,13647,36638,Thanbyuzayat,MMR011004
 Employer,2464,1421,3885,Thanbyuzayat,MMR011004
 Own account worker,17429,15213,32642,Thanbyuzayat,MMR011004
 Contributing family worker,2855,17569,20424,Thanbyuzayat,MMR011004
 Sought work,1764,1729,3493,Thanbyuzayat,MMR011004
 Did not seek work,211,170,381,Thanbyuzayat,MMR011004
 Full time student,8614,9820,18434,Thanbyuzayat,MMR011004
 Household work,333,5827,6160,Thanbyuzayat,MMR011004
" Pensioner, retired, elderly person",2831,3918,6749,Thanbyuzayat,MMR011004
" Ill, disabled",948,769,1717,Thanbyuzayat,MMR011004
 Other,2791,867,3658,Thanbyuzayat,MMR011004
 Total,64708,72600,137308,Thanbyuzayat,MMR011004
