Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2156,1806,3962,Pyawbwe,MMR010024
" Employee (Private, Org)",15589,14390,29979,Pyawbwe,MMR010024
 Employer,2088,1155,3243,Pyawbwe,MMR010024
 Own account worker,40174,22161,62335,Pyawbwe,MMR010024
 Contributing family worker,8433,17692,26125,Pyawbwe,MMR010024
 Sought work,2100,1527,3627,Pyawbwe,MMR010024
 Did not seek work,327,125,452,Pyawbwe,MMR010024
 Full time student,14396,13707,28103,Pyawbwe,MMR010024
 Household work,1608,35287,36895,Pyawbwe,MMR010024
" Pensioner, retired, elderly person",5155,8170,13325,Pyawbwe,MMR010024
" Ill, disabled",665,682,1347,Pyawbwe,MMR010024
 Other,3071,1505,4576,Pyawbwe,MMR010024
 Total,95762,118207,213969,Pyawbwe,MMR010024
