Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2481,2491,4972,Pyu,MMR007012
" Employee (Private, Org)",21423,12915,34338,Pyu,MMR007012
 Employer,5469,1434,6903,Pyu,MMR007012
 Own account worker,24443,9341,33784,Pyu,MMR007012
 Contributing family worker,8402,10998,19400,Pyu,MMR007012
 Sought work,2479,1724,4203,Pyu,MMR007012
 Did not seek work,452,367,819,Pyu,MMR007012
 Full time student,15232,15222,30454,Pyu,MMR007012
 Household work,1253,42475,43728,Pyu,MMR007012
" Pensioner, retired, elderly person",4904,7157,12061,Pyu,MMR007012
" Ill, disabled",923,926,1849,Pyu,MMR007012
 Other,7000,4977,11977,Pyu,MMR007012
 Total,94461,110027,204488,Pyu,MMR007012
