Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),888,1015,1903,Yekyi,MMR017006
" Employee (Private, Org)",11547,4575,16122,Yekyi,MMR017006
 Employer,5525,1068,6593,Yekyi,MMR017006
 Own account worker,8289,3220,11509,Yekyi,MMR017006
 Contributing family worker,2316,2794,5110,Yekyi,MMR017006
 Sought work,1091,707,1798,Yekyi,MMR017006
 Did not seek work,155,71,226,Yekyi,MMR017006
 Full time student,5584,5552,11136,Yekyi,MMR017006
 Household work,355,22483,22838,Yekyi,MMR017006
" Pensioner, retired, elderly person",1981,2981,4962,Yekyi,MMR017006
" Ill, disabled",406,390,796,Yekyi,MMR017006
 Other,2516,1459,3975,Yekyi,MMR017006
 Total,40653,46315,86968,Yekyi,MMR017006
