Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1440,1227,2667,Myothit,MMR009005
" Employee (Private, Org)",7526,6661,14187,Myothit,MMR009005
 Employer,9299,3214,12513,Myothit,MMR009005
 Own account worker,16299,7991,24290,Myothit,MMR009005
 Contributing family worker,7979,15355,23334,Myothit,MMR009005
 Sought work,1012,838,1850,Myothit,MMR009005
 Did not seek work,79,64,143,Myothit,MMR009005
 Full time student,9132,8785,17917,Myothit,MMR009005
 Household work,780,19884,20664,Myothit,MMR009005
" Pensioner, retired, elderly person",2655,4413,7068,Myothit,MMR009005
" Ill, disabled",444,534,978,Myothit,MMR009005
 Other,1302,478,1780,Myothit,MMR009005
 Total,57947,69444,127391,Myothit,MMR009005
