Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),429,80,509,Pyigyimandaing,MMR006010
" Employee (Private, Org)",1466,395,1861,Pyigyimandaing,MMR006010
 Employer,71,38,109,Pyigyimandaing,MMR006010
 Own account worker,2215,737,2952,Pyigyimandaing,MMR006010
 Contributing family worker,561,271,832,Pyigyimandaing,MMR006010
 Sought work,101,16,117,Pyigyimandaing,MMR006010
 Did not seek work,37,10,47,Pyigyimandaing,MMR006010
 Full time student,991,1102,2093,Pyigyimandaing,MMR006010
 Household work,191,2614,2805,Pyigyimandaing,MMR006010
" Pensioner, retired, elderly person",122,190,312,Pyigyimandaing,MMR006010
" Ill, disabled",39,34,73,Pyigyimandaing,MMR006010
 Other,437,209,646,Pyigyimandaing,MMR006010
 Total,6660,5696,12356,Pyigyimandaing,MMR006010
