Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),495,103,598,Nanyun,MMR005037
" Employee (Private, Org)",127,34,161,Nanyun,MMR005037
 Employer,26,17,43,Nanyun,MMR005037
 Own account worker,1663,881,2544,Nanyun,MMR005037
 Contributing family worker,587,811,1398,Nanyun,MMR005037
 Sought work,6,7,13,Nanyun,MMR005037
 Did not seek work,1,-,1,Nanyun,MMR005037
 Full time student,790,724,1514,Nanyun,MMR005037
 Household work,19,637,656,Nanyun,MMR005037
" Pensioner, retired, elderly person",69,114,183,Nanyun,MMR005037
" Ill, disabled",19,31,50,Nanyun,MMR005037
 Other,694,117,811,Nanyun,MMR005037
 Total,4496,3476,7972,Nanyun,MMR005037
