Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),827,1133,1960,Ye U,MMR005009
" Employee (Private, Org)",5890,5247,11137,Ye U,MMR005009
 Employer,1193,918,2111,Ye U,MMR005009
 Own account worker,14674,12023,26697,Ye U,MMR005009
 Contributing family worker,4398,8982,13380,Ye U,MMR005009
 Sought work,1045,1222,2267,Ye U,MMR005009
 Did not seek work,132,94,226,Ye U,MMR005009
 Full time student,7203,7713,14916,Ye U,MMR005009
 Household work,533,13285,13818,Ye U,MMR005009
" Pensioner, retired, elderly person",3063,5125,8188,Ye U,MMR005009
" Ill, disabled",441,493,934,Ye U,MMR005009
 Other,1376,368,1744,Ye U,MMR005009
 Total,40775,56603,97378,Ye U,MMR005009
