Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1661,294,1955,Minephyat,MMR016010
" Employee (Private, Org)",1088,225,1313,Minephyat,MMR016010
 Employer,143,36,179,Minephyat,MMR016010
 Own account worker,5155,1783,6938,Minephyat,MMR016010
 Contributing family worker,1731,2860,4591,Minephyat,MMR016010
 Sought work,164,105,269,Minephyat,MMR016010
 Did not seek work,157,90,247,Minephyat,MMR016010
 Full time student,965,1205,2170,Minephyat,MMR016010
 Household work,299,3192,3491,Minephyat,MMR016010
" Pensioner, retired, elderly person",418,663,1081,Minephyat,MMR016010
" Ill, disabled",33,35,68,Minephyat,MMR016010
 Other,635,171,806,Minephyat,MMR016010
 Total,12449,10659,23108,Minephyat,MMR016010
