Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1573,1761,3334,Myaing,MMR009020
" Employee (Private, Org)",15308,9405,24713,Myaing,MMR009020
 Employer,1270,448,1718,Myaing,MMR009020
 Own account worker,28399,11990,40389,Myaing,MMR009020
 Contributing family worker,6572,12913,19485,Myaing,MMR009020
 Sought work,3118,3082,6200,Myaing,MMR009020
 Did not seek work,353,244,597,Myaing,MMR009020
 Full time student,12579,14069,26648,Myaing,MMR009020
 Household work,831,38429,39260,Myaing,MMR009020
" Pensioner, retired, elderly person",5500,8504,14004,Myaing,MMR009020
" Ill, disabled",916,949,1865,Myaing,MMR009020
 Other,3099,1931,5030,Myaing,MMR009020
 Total,79518,103725,183243,Myaing,MMR009020
