Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),695,461,1156,Thantlang,MMR004003
" Employee (Private, Org)",615,258,873,Thantlang,MMR004003
 Employer,48,14,62,Thantlang,MMR004003
 Own account worker,4763,2097,6860,Thantlang,MMR004003
 Contributing family worker,4093,5139,9232,Thantlang,MMR004003
 Sought work,249,187,436,Thantlang,MMR004003
 Did not seek work,194,107,301,Thantlang,MMR004003
 Full time student,4530,4369,8899,Thantlang,MMR004003
 Household work,422,4831,5253,Thantlang,MMR004003
" Pensioner, retired, elderly person",842,1116,1958,Thantlang,MMR004003
" Ill, disabled",316,371,687,Thantlang,MMR004003
 Other,535,223,758,Thantlang,MMR004003
 Total,17302,19173,36475,Thantlang,MMR004003
