Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),878,1375,2253,Zalun,MMR017009
" Employee (Private, Org)",18230,11331,29561,Zalun,MMR017009
 Employer,5822,1992,7814,Zalun,MMR017009
 Own account worker,16484,9965,26449,Zalun,MMR017009
 Contributing family worker,5255,7111,12366,Zalun,MMR017009
 Sought work,818,710,1528,Zalun,MMR017009
 Did not seek work,193,96,289,Zalun,MMR017009
 Full time student,8434,8452,16886,Zalun,MMR017009
 Household work,343,24535,24878,Zalun,MMR017009
" Pensioner, retired, elderly person",2943,4525,7468,Zalun,MMR017009
" Ill, disabled",692,720,1412,Zalun,MMR017009
 Other,3949,2494,6443,Zalun,MMR017009
 Total,64041,73306,137347,Zalun,MMR017009
