Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1225,1463,2688,Pantanaw,MMR017020
" Employee (Private, Org)",18395,10411,28806,Pantanaw,MMR017020
 Employer,5248,2303,7551,Pantanaw,MMR017020
 Own account worker,37323,24757,62080,Pantanaw,MMR017020
 Contributing family worker,10981,15638,26619,Pantanaw,MMR017020
 Sought work,3617,2340,5957,Pantanaw,MMR017020
 Did not seek work,296,183,479,Pantanaw,MMR017020
 Full time student,12549,12691,25240,Pantanaw,MMR017020
 Household work,823,29307,30130,Pantanaw,MMR017020
" Pensioner, retired, elderly person",3913,5718,9631,Pantanaw,MMR017020
" Ill, disabled",912,907,1819,Pantanaw,MMR017020
 Other,7208,5168,12376,Pantanaw,MMR017020
 Total,102490,110886,213376,Pantanaw,MMR017020
