Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),97,36,133,Donhee(ST),MMR005037
" Employee (Private, Org)",331,49,380,Donhee(ST),MMR005037
 Employer,22,3,25,Donhee(ST),MMR005037
 Own account worker,3450,623,4073,Donhee(ST),MMR005037
 Contributing family worker,2426,3518,5944,Donhee(ST),MMR005037
 Sought work,16,15,31,Donhee(ST),MMR005037
 Did not seek work,1,2,3,Donhee(ST),MMR005037
 Full time student,1664,1239,2903,Donhee(ST),MMR005037
 Household work,189,2758,2947,Donhee(ST),MMR005037
" Pensioner, retired, elderly person",509,689,1198,Donhee(ST),MMR005037
" Ill, disabled",54,63,117,Donhee(ST),MMR005037
 Other,66,89,155,Donhee(ST),MMR005037
 Total,8825,9084,17909,Donhee(ST),MMR005037
