Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),6452,6339,12791,Mawlamyine,MMR011001
" Employee (Private, Org)",30309,12991,43300,Mawlamyine,MMR011001
 Employer,2878,1354,4232,Mawlamyine,MMR011001
 Own account worker,27448,17298,44746,Mawlamyine,MMR011001
 Contributing family worker,3843,7038,10881,Mawlamyine,MMR011001
 Sought work,3993,2479,6472,Mawlamyine,MMR011001
 Did not seek work,714,302,1016,Mawlamyine,MMR011001
 Full time student,18643,18581,37224,Mawlamyine,MMR011001
 Household work,2425,46836,49261,Mawlamyine,MMR011001
" Pensioner, retired, elderly person",7401,9117,16518,Mawlamyine,MMR011001
" Ill, disabled",1335,1083,2418,Mawlamyine,MMR011001
 Other,9899,4169,14068,Mawlamyine,MMR011001
 Total,115340,127587,242927,Mawlamyine,MMR011001
