Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),266,270,536,Payarthonezu(ST),MMR003007
" Employee (Private, Org)",7135,4686,11821,Payarthonezu(ST),MMR003007
 Employer,762,228,990,Payarthonezu(ST),MMR003007
 Own account worker,11408,3948,15356,Payarthonezu(ST),MMR003007
 Contributing family worker,3692,2858,6550,Payarthonezu(ST),MMR003007
 Sought work,1502,758,2260,Payarthonezu(ST),MMR003007
 Did not seek work,638,326,964,Payarthonezu(ST),MMR003007
 Full time student,4412,5247,9659,Payarthonezu(ST),MMR003007
 Household work,439,14017,14456,Payarthonezu(ST),MMR003007
" Pensioner, retired, elderly person",1054,1525,2579,Payarthonezu(ST),MMR003007
" Ill, disabled",266,200,466,Payarthonezu(ST),MMR003007
 Other,1898,782,2680,Payarthonezu(ST),MMR003007
 Total,33472,34845,68317,Payarthonezu(ST),MMR003007
