Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),863,1209,2072,Butalin,MMR005013
" Employee (Private, Org)",8954,8398,17352,Butalin,MMR005013
 Employer,1780,969,2749,Butalin,MMR005013
 Own account worker,15273,10944,26217,Butalin,MMR005013
 Contributing family worker,3792,7707,11499,Butalin,MMR005013
 Sought work,895,1013,1908,Butalin,MMR005013
 Did not seek work,140,92,232,Butalin,MMR005013
 Full time student,6976,7207,14183,Butalin,MMR005013
 Household work,310,14067,14377,Butalin,MMR005013
" Pensioner, retired, elderly person",3253,5202,8455,Butalin,MMR005013
" Ill, disabled",506,565,1071,Butalin,MMR005013
 Other,1451,355,1806,Butalin,MMR005013
 Total,44193,57728,101921,Butalin,MMR005013
