Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1203,734,1937,Saytottara,MMR009011
" Employee (Private, Org)",2028,804,2832,Saytottara,MMR009011
 Employer,134,64,198,Saytottara,MMR009011
 Own account worker,8935,4855,13790,Saytottara,MMR009011
 Contributing family worker,2203,4333,6536,Saytottara,MMR009011
 Sought work,160,203,363,Saytottara,MMR009011
 Did not seek work,15,16,31,Saytottara,MMR009011
 Full time student,2163,2104,4267,Saytottara,MMR009011
 Household work,290,4644,4934,Saytottara,MMR009011
" Pensioner, retired, elderly person",1046,1395,2441,Saytottara,MMR009011
" Ill, disabled",147,187,334,Saytottara,MMR009011
 Other,535,242,777,Saytottara,MMR009011
 Total,18859,19581,38440,Saytottara,MMR009011
