Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),867,701,1568,Myebon,MMR012006
" Employee (Private, Org)",5941,2140,8081,Myebon,MMR012006
 Employer,2777,535,3312,Myebon,MMR012006
 Own account worker,19217,6978,26195,Myebon,MMR012006
 Contributing family worker,2450,7316,9766,Myebon,MMR012006
 Sought work,3242,2380,5622,Myebon,MMR012006
 Did not seek work,626,502,1128,Myebon,MMR012006
 Full time student,8830,8676,17506,Myebon,MMR012006
 Household work,722,21623,22345,Myebon,MMR012006
" Pensioner, retired, elderly person",1761,3160,4921,Myebon,MMR012006
" Ill, disabled",333,343,676,Myebon,MMR012006
 Other,2947,2175,5122,Myebon,MMR012006
 Total,49713,56529,106242,Myebon,MMR012006
