Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3284,4504,7788,Mahaaungmye,MMR010003
" Employee (Private, Org)",31249,20167,51416,Mahaaungmye,MMR010003
 Employer,3699,1572,5271,Mahaaungmye,MMR010003
 Own account worker,25610,15076,40686,Mahaaungmye,MMR010003
 Contributing family worker,3484,2765,6249,Mahaaungmye,MMR010003
 Sought work,2663,1812,4475,Mahaaungmye,MMR010003
 Did not seek work,721,446,1167,Mahaaungmye,MMR010003
 Full time student,14606,15858,30464,Mahaaungmye,MMR010003
 Household work,1403,37281,38684,Mahaaungmye,MMR010003
" Pensioner, retired, elderly person",5011,6590,11601,Mahaaungmye,MMR010003
" Ill, disabled",662,532,1194,Mahaaungmye,MMR010003
 Other,8888,2803,11691,Mahaaungmye,MMR010003
 Total,101280,109406,210686,Mahaaungmye,MMR010003
