Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),610,257,867,Mone`,MMR014019
" Employee (Private, Org)",637,182,819,Mone`,MMR014019
 Employer,199,117,316,Mone`,MMR014019
 Own account worker,4690,2809,7499,Mone`,MMR014019
 Contributing family worker,1855,2628,4483,Mone`,MMR014019
 Sought work,208,103,311,Mone`,MMR014019
 Did not seek work,43,37,80,Mone`,MMR014019
 Full time student,1023,1182,2205,Mone`,MMR014019
 Household work,177,2928,3105,Mone`,MMR014019
" Pensioner, retired, elderly person",515,758,1273,Mone`,MMR014019
" Ill, disabled",92,80,172,Mone`,MMR014019
 Other,992,548,1540,Mone`,MMR014019
 Total,11041,11629,22670,Mone`,MMR014019
