Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),803,1006,1809,Kawhmu,MMR013028
" Employee (Private, Org)",13441,5514,18955,Kawhmu,MMR013028
 Employer,3323,1031,4354,Kawhmu,MMR013028
 Own account worker,14174,9460,23634,Kawhmu,MMR013028
 Contributing family worker,3550,13101,16651,Kawhmu,MMR013028
 Sought work,747,517,1264,Kawhmu,MMR013028
 Did not seek work,83,46,129,Kawhmu,MMR013028
 Full time student,7024,7056,14080,Kawhmu,MMR013028
 Household work,259,8637,8896,Kawhmu,MMR013028
" Pensioner, retired, elderly person",1356,2367,3723,Kawhmu,MMR013028
" Ill, disabled",557,532,1089,Kawhmu,MMR013028
 Other,1766,623,2389,Kawhmu,MMR013028
 Total,47083,49890,96973,Kawhmu,MMR013028
