Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),219,39,258,Ywathit(ST),MMR002005
" Employee (Private, Org)",114,53,167,Ywathit(ST),MMR002005
 Employer,10,1,11,Ywathit(ST),MMR002005
 Own account worker,532,221,753,Ywathit(ST),MMR002005
 Contributing family worker,65,19,84,Ywathit(ST),MMR002005
 Sought work,7,7,14,Ywathit(ST),MMR002005
 Full time student,125,135,260,Ywathit(ST),MMR002005
 Household work,20,354,374,Ywathit(ST),MMR002005
" Pensioner, retired, elderly person",20,22,42,Ywathit(ST),MMR002005
" Ill, disabled",10,9,19,Ywathit(ST),MMR002005
 Other,58,7,65,Ywathit(ST),MMR002005
 Total,1180,867,2047,Ywathit(ST),MMR002005
