Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1285,1095,2380,Paunde,MMR008004
" Employee (Private, Org)",13265,7426,20691,Paunde,MMR008004
 Employer,2521,808,3329,Paunde,MMR008004
 Own account worker,19461,6618,26079,Paunde,MMR008004
 Contributing family worker,5383,7046,12429,Paunde,MMR008004
 Sought work,1184,972,2156,Paunde,MMR008004
 Did not seek work,171,91,262,Paunde,MMR008004
 Full time student,4921,4920,9841,Paunde,MMR008004
 Household work,568,25554,26122,Paunde,MMR008004
" Pensioner, retired, elderly person",3443,4760,8203,Paunde,MMR008004
" Ill, disabled",431,418,849,Paunde,MMR008004
 Other,4023,2435,6458,Paunde,MMR008004
 Total,56656,62143,118799,Paunde,MMR008004
