Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),871,1155,2026,Mogok,MMR010011
" Employee (Private, Org)",21050,4580,25630,Mogok,MMR010011
 Employer,884,392,1276,Mogok,MMR010011
 Own account worker,20933,13481,34414,Mogok,MMR010011
 Contributing family worker,3260,3368,6628,Mogok,MMR010011
 Sought work,2617,1417,4034,Mogok,MMR010011
 Did not seek work,338,197,535,Mogok,MMR010011
 Full time student,11922,12747,24669,Mogok,MMR010011
 Household work,802,23260,24062,Mogok,MMR010011
" Pensioner, retired, elderly person",3608,5224,8832,Mogok,MMR010011
" Ill, disabled",576,399,975,Mogok,MMR010011
 Other,2726,1177,3903,Mogok,MMR010011
 Total,69587,67397,136984,Mogok,MMR010011
