Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),611,682,1293,Kamma,MMR009015
" Employee (Private, Org)",4179,3205,7384,Kamma,MMR009015
 Employer,968,524,1492,Kamma,MMR009015
 Own account worker,14161,8598,22759,Kamma,MMR009015
 Contributing family worker,3313,6203,9516,Kamma,MMR009015
 Sought work,419,374,793,Kamma,MMR009015
 Did not seek work,60,40,100,Kamma,MMR009015
 Full time student,2834,2927,5761,Kamma,MMR009015
 Household work,230,7615,7845,Kamma,MMR009015
" Pensioner, retired, elderly person",1990,2786,4776,Kamma,MMR009015
" Ill, disabled",244,262,506,Kamma,MMR009015
 Other,1367,796,2163,Kamma,MMR009015
 Total,30376,34012,64388,Kamma,MMR009015
