Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1770,922,2692,Shwegyin,MMR007008
" Employee (Private, Org)",8486,3884,12370,Shwegyin,MMR007008
 Employer,1027,310,1337,Shwegyin,MMR007008
 Own account worker,13579,5905,19484,Shwegyin,MMR007008
 Contributing family worker,2638,1977,4615,Shwegyin,MMR007008
 Sought work,1682,1049,2731,Shwegyin,MMR007008
 Did not seek work,248,127,375,Shwegyin,MMR007008
 Full time student,6022,6403,12425,Shwegyin,MMR007008
 Household work,664,17719,18383,Shwegyin,MMR007008
" Pensioner, retired, elderly person",1605,2316,3921,Shwegyin,MMR007008
" Ill, disabled",342,339,681,Shwegyin,MMR007008
 Other,2392,1121,3513,Shwegyin,MMR007008
 Total,40455,42072,82527,Shwegyin,MMR007008
