Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),31,14,45,Pannandin(ST),MMR001017
" Employee (Private, Org)",63,22,85,Pannandin(ST),MMR001017
 Employer,1,-,1,Pannandin(ST),MMR001017
 Own account worker,210,52,262,Pannandin(ST),MMR001017
 Contributing family worker,86,208,294,Pannandin(ST),MMR001017
 Sought work,53,19,72,Pannandin(ST),MMR001017
 Did not seek work,4,2,6,Pannandin(ST),MMR001017
 Full time student,149,130,279,Pannandin(ST),MMR001017
 Household work,30,89,119,Pannandin(ST),MMR001017
" Pensioner, retired, elderly person",20,28,48,Pannandin(ST),MMR001017
" Ill, disabled",8,2,10,Pannandin(ST),MMR001017
 Other,1,1,2,Pannandin(ST),MMR001017
 Total,656,567,1223,Pannandin(ST),MMR001017
