Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1542,888,2430,Kyaukkyi,MMR007011
" Employee (Private, Org)",8306,4921,13227,Kyaukkyi,MMR007011
 Employer,1384,418,1802,Kyaukkyi,MMR007011
 Own account worker,11829,4691,16520,Kyaukkyi,MMR007011
 Contributing family worker,4105,3652,7757,Kyaukkyi,MMR007011
 Sought work,1735,1051,2786,Kyaukkyi,MMR007011
 Did not seek work,207,114,321,Kyaukkyi,MMR007011
 Full time student,6567,7311,13878,Kyaukkyi,MMR007011
 Household work,612,18140,18752,Kyaukkyi,MMR007011
" Pensioner, retired, elderly person",2251,3229,5480,Kyaukkyi,MMR007011
" Ill, disabled",500,487,987,Kyaukkyi,MMR007011
 Other,1676,955,2631,Kyaukkyi,MMR007011
 Total,40714,45857,86571,Kyaukkyi,MMR007011
