Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1623,2070,3693,Kyauktaga,MMR007006
" Employee (Private, Org)",25329,12696,38025,Kyauktaga,MMR007006
 Employer,5125,1030,6155,Kyauktaga,MMR007006
 Own account worker,23527,7978,31505,Kyauktaga,MMR007006
 Contributing family worker,8456,8635,17091,Kyauktaga,MMR007006
 Sought work,3551,2477,6028,Kyauktaga,MMR007006
 Did not seek work,444,242,686,Kyauktaga,MMR007006
 Full time student,14784,14944,29728,Kyauktaga,MMR007006
 Household work,1688,45935,47623,Kyauktaga,MMR007006
" Pensioner, retired, elderly person",4171,6289,10460,Kyauktaga,MMR007006
" Ill, disabled",730,665,1395,Kyauktaga,MMR007006
 Other,3235,1573,4808,Kyauktaga,MMR007006
 Total,92663,104534,197197,Kyauktaga,MMR007006
