Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),355,272,627,Mongkai,MMR014016
" Employee (Private, Org)",1692,973,2665,Mongkai,MMR014016
 Employer,587,191,778,Mongkai,MMR014016
 Own account worker,12990,5261,18251,Mongkai,MMR014016
 Contributing family worker,4596,6130,10726,Mongkai,MMR014016
 Sought work,309,179,488,Mongkai,MMR014016
 Did not seek work,191,108,299,Mongkai,MMR014016
 Full time student,1859,2433,4292,Mongkai,MMR014016
 Household work,872,11978,12850,Mongkai,MMR014016
" Pensioner, retired, elderly person",1239,2286,3525,Mongkai,MMR014016
" Ill, disabled",162,162,324,Mongkai,MMR014016
 Other,2122,843,2965,Mongkai,MMR014016
 Total,26974,30816,57790,Mongkai,MMR014016
