Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),360,200,560,Machanbaw,MMR001016
" Employee (Private, Org)",240,64,304,Machanbaw,MMR001016
 Employer,27,12,39,Machanbaw,MMR001016
 Own account worker,1248,639,1887,Machanbaw,MMR001016
 Contributing family worker,377,530,907,Machanbaw,MMR001016
 Sought work,59,27,86,Machanbaw,MMR001016
 Did not seek work,3,4,7,Machanbaw,MMR001016
 Full time student,672,738,1410,Machanbaw,MMR001016
 Household work,30,794,824,Machanbaw,MMR001016
" Pensioner, retired, elderly person",92,136,228,Machanbaw,MMR001016
" Ill, disabled",57,45,102,Machanbaw,MMR001016
 Other,50,27,77,Machanbaw,MMR001016
 Total,3215,3216,6431,Machanbaw,MMR001016
