Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),620,455,1075,Mansi,MMR001013
" Employee (Private, Org)",1703,783,2486,Mansi,MMR001013
 Employer,429,278,707,Mansi,MMR001013
 Own account worker,10030,6982,17012,Mansi,MMR001013
 Contributing family worker,1732,2479,4211,Mansi,MMR001013
 Sought work,749,498,1247,Mansi,MMR001013
 Did not seek work,19,20,39,Mansi,MMR001013
 Full time student,3658,3775,7433,Mansi,MMR001013
 Household work,276,4220,4496,Mansi,MMR001013
" Pensioner, retired, elderly person",677,1282,1959,Mansi,MMR001013
" Ill, disabled",157,121,278,Mansi,MMR001013
 Other,481,444,925,Mansi,MMR001013
 Total,20531,21337,41868,Mansi,MMR001013
