Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),8607,6093,14700,Pathein,MMR017001
" Employee (Private, Org)",33189,16480,49669,Pathein,MMR017001
 Employer,4814,1634,6448,Pathein,MMR017001
 Own account worker,27324,15381,42705,Pathein,MMR017001
 Contributing family worker,4822,4998,9820,Pathein,MMR017001
 Sought work,2925,2061,4986,Pathein,MMR017001
 Did not seek work,430,244,674,Pathein,MMR017001
 Full time student,15565,16183,31748,Pathein,MMR017001
 Household work,1303,50061,51364,Pathein,MMR017001
" Pensioner, retired, elderly person",6230,8125,14355,Pathein,MMR017001
" Ill, disabled",1084,993,2077,Pathein,MMR017001
 Other,8386,4917,13303,Pathein,MMR017001
 Total,114679,127170,241849,Pathein,MMR017001
