Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4930,5806,10736,North Okkalapa,MMR013012
" Employee (Private, Org)",48629,32818,81447,North Okkalapa,MMR013012
 Employer,3254,1453,4707,North Okkalapa,MMR013012
 Own account worker,28906,20490,49396,North Okkalapa,MMR013012
 Contributing family worker,2523,2750,5273,North Okkalapa,MMR013012
 Sought work,4825,2555,7380,North Okkalapa,MMR013012
 Did not seek work,821,376,1197,North Okkalapa,MMR013012
 Full time student,20375,20572,40947,North Okkalapa,MMR013012
 Household work,1784,53557,55341,North Okkalapa,MMR013012
" Pensioner, retired, elderly person",10194,10920,21114,North Okkalapa,MMR013012
" Ill, disabled",1362,1087,2449,North Okkalapa,MMR013012
 Other,7237,3837,11074,North Okkalapa,MMR013012
 Total,134840,156221,291061,North Okkalapa,MMR013012
