Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),769,170,939,Kamamaung(ST},MMR003003
" Employee (Private, Org)",2123,500,2623,Kamamaung(ST},MMR003003
 Employer,107,36,143,Kamamaung(ST},MMR003003
 Own account worker,1618,1067,2685,Kamamaung(ST},MMR003003
 Contributing family worker,460,398,858,Kamamaung(ST},MMR003003
 Sought work,338,130,468,Kamamaung(ST},MMR003003
 Did not seek work,145,42,187,Kamamaung(ST},MMR003003
 Full time student,1461,1512,2973,Kamamaung(ST},MMR003003
 Household work,213,3574,3787,Kamamaung(ST},MMR003003
" Pensioner, retired, elderly person",315,409,724,Kamamaung(ST},MMR003003
" Ill, disabled",107,67,174,Kamamaung(ST},MMR003003
 Other,80,30,110,Kamamaung(ST},MMR003003
 Total,7736,7935,15671,Kamamaung(ST},MMR003003
