Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),285,41,326,Cocogyun,MMR013032
" Employee (Private, Org)",714,169,883,Cocogyun,MMR013032
 Employer,13,1,14,Cocogyun,MMR013032
 Own account worker,36,27,63,Cocogyun,MMR013032
 Contributing family worker,21,53,74,Cocogyun,MMR013032
 Sought work,7,-,7,Cocogyun,MMR013032
 Full time student,64,48,112,Cocogyun,MMR013032
 Household work,4,173,177,Cocogyun,MMR013032
" Pensioner, retired, elderly person",14,10,24,Cocogyun,MMR013032
" Ill, disabled",5,2,7,Cocogyun,MMR013032
 Other,6,-,6,Cocogyun,MMR013032
 Total,1169,524,1693,Cocogyun,MMR013032
