Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2190,1370,3560,Thegon,MMR008005
" Employee (Private, Org)",9401,5682,15083,Thegon,MMR008005
 Employer,2090,784,2874,Thegon,MMR008005
 Own account worker,20305,8561,28866,Thegon,MMR008005
 Contributing family worker,4375,8544,12919,Thegon,MMR008005
 Sought work,874,812,1686,Thegon,MMR008005
 Did not seek work,102,56,158,Thegon,MMR008005
 Full time student,4924,5043,9967,Thegon,MMR008005
 Household work,590,22352,22942,Thegon,MMR008005
" Pensioner, retired, elderly person",3227,4384,7611,Thegon,MMR008005
" Ill, disabled",371,360,731,Thegon,MMR008005
 Other,5015,3171,8186,Thegon,MMR008005
 Total,53464,61119,114583,Thegon,MMR008005
