Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),79,26,105,ManKan(ST),MMR015005
" Employee (Private, Org)",110,40,150,ManKan(ST),MMR015005
 Employer,1,1,2,ManKan(ST),MMR015005
 Own account worker,216,111,327,ManKan(ST),MMR015005
 Contributing family worker,81,125,206,ManKan(ST),MMR015005
 Sought work,3,3,6,ManKan(ST),MMR015005
 Full time student,37,63,100,ManKan(ST),MMR015005
 Household work,8,167,175,ManKan(ST),MMR015005
" Pensioner, retired, elderly person",21,53,74,ManKan(ST),MMR015005
" Ill, disabled",4,3,7,ManKan(ST),MMR015005
 Other,81,12,93,ManKan(ST),MMR015005
 Total,641,604,1245,ManKan(ST),MMR015005
