Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2055,1904,3959,Tharyarwaddy,MMR008007
" Employee (Private, Org)",16780,6081,22861,Tharyarwaddy,MMR008007
 Employer,5146,808,5954,Tharyarwaddy,MMR008007
 Own account worker,13964,5136,19100,Tharyarwaddy,MMR008007
 Contributing family worker,4160,3579,7739,Tharyarwaddy,MMR008007
 Sought work,2676,1740,4416,Tharyarwaddy,MMR008007
 Did not seek work,290,154,444,Tharyarwaddy,MMR008007
 Full time student,6735,7059,13794,Tharyarwaddy,MMR008007
 Household work,807,31745,32552,Tharyarwaddy,MMR008007
" Pensioner, retired, elderly person",3150,4666,7816,Tharyarwaddy,MMR008007
" Ill, disabled",546,442,988,Tharyarwaddy,MMR008007
 Other,2477,1167,3644,Tharyarwaddy,MMR008007
 Total,58786,64481,123267,Tharyarwaddy,MMR008007
