Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1897,2291,4188,Pwint Phyu,MMR009008
" Employee (Private, Org)",18577,16420,34997,Pwint Phyu,MMR009008
 Employer,4819,2122,6941,Pwint Phyu,MMR009008
 Own account worker,19038,12582,31620,Pwint Phyu,MMR009008
 Contributing family worker,4881,13157,18038,Pwint Phyu,MMR009008
 Sought work,290,328,618,Pwint Phyu,MMR009008
 Did not seek work,41,13,54,Pwint Phyu,MMR009008
 Full time student,7762,8052,15814,Pwint Phyu,MMR009008
 Household work,673,13219,13892,Pwint Phyu,MMR009008
" Pensioner, retired, elderly person",2388,3550,5938,Pwint Phyu,MMR009008
" Ill, disabled",486,485,971,Pwint Phyu,MMR009008
 Other,1452,468,1920,Pwint Phyu,MMR009008
 Total,62304,72687,134991,Pwint Phyu,MMR009008
