Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1560,2238,3798,Bogale,MMR017024
" Employee (Private, Org)",31600,12791,44391,Bogale,MMR017024
 Employer,8574,2012,10586,Bogale,MMR017024
 Own account worker,33215,12810,46025,Bogale,MMR017024
 Contributing family worker,8902,11778,20680,Bogale,MMR017024
 Sought work,2561,1499,4060,Bogale,MMR017024
 Did not seek work,410,256,666,Bogale,MMR017024
 Full time student,18039,18184,36223,Bogale,MMR017024
 Household work,1234,52075,53309,Bogale,MMR017024
" Pensioner, retired, elderly person",3795,6323,10118,Bogale,MMR017024
" Ill, disabled",1363,1326,2689,Bogale,MMR017024
 Other,12166,6796,18962,Bogale,MMR017024
 Total,123419,128088,251507,Bogale,MMR017024
