Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),16087,5860,21947,Mingaladon,MMR013002
" Employee (Private, Org)",50992,37399,88391,Mingaladon,MMR013002
 Employer,2029,1100,3129,Mingaladon,MMR013002
 Own account worker,19237,14845,34082,Mingaladon,MMR013002
 Contributing family worker,2438,2880,5318,Mingaladon,MMR013002
 Sought work,3577,1965,5542,Mingaladon,MMR013002
 Did not seek work,891,575,1466,Mingaladon,MMR013002
 Full time student,19524,19402,38926,Mingaladon,MMR013002
 Household work,1561,52670,54231,Mingaladon,MMR013002
" Pensioner, retired, elderly person",8282,7441,15723,Mingaladon,MMR013002
" Ill, disabled",934,724,1658,Mingaladon,MMR013002
 Other,8510,5172,13682,Mingaladon,MMR013002
 Total,134062,150033,284095,Mingaladon,MMR013002
