Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1722,1810,3532,Bilin,MMR011010
" Employee (Private, Org)",15303,6692,21995,Bilin,MMR011010
 Employer,2748,664,3412,Bilin,MMR011010
 Own account worker,18231,9977,28208,Bilin,MMR011010
 Contributing family worker,4575,5499,10074,Bilin,MMR011010
 Sought work,2099,1376,3475,Bilin,MMR011010
 Did not seek work,338,191,529,Bilin,MMR011010
 Full time student,10260,11247,21507,Bilin,MMR011010
 Household work,899,27516,28415,Bilin,MMR011010
" Pensioner, retired, elderly person",3053,4388,7441,Bilin,MMR011010
" Ill, disabled",706,570,1276,Bilin,MMR011010
 Other,8138,4097,12235,Bilin,MMR011010
 Total,68072,74027,142099,Bilin,MMR011010
