Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3863,2633,6496,Minhla,MMR009013
" Employee (Private, Org)",10624,3497,14121,Minhla,MMR009013
 Employer,1493,384,1877,Minhla,MMR009013
 Own account worker,26379,12997,39376,Minhla,MMR009013
 Contributing family worker,6051,12139,18190,Minhla,MMR009013
 Sought work,1210,902,2112,Minhla,MMR009013
 Did not seek work,160,89,249,Minhla,MMR009013
 Full time student,6262,6409,12671,Minhla,MMR009013
 Household work,464,16237,16701,Minhla,MMR009013
" Pensioner, retired, elderly person",3323,4938,8261,Minhla,MMR009013
" Ill, disabled",299,312,611,Minhla,MMR009013
 Other,1593,900,2493,Minhla,MMR009013
 Total,61721,61437,123158,Minhla,MMR009013
