Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),86,82,168,Bawgali(ST),MMR003004
" Employee (Private, Org)",294,115,409,Bawgali(ST),MMR003004
 Employer,41,14,55,Bawgali(ST),MMR003004
 Own account worker,3344,1895,5239,Bawgali(ST),MMR003004
 Contributing family worker,920,639,1559,Bawgali(ST),MMR003004
 Sought work,72,69,141,Bawgali(ST),MMR003004
 Did not seek work,24,33,57,Bawgali(ST),MMR003004
 Full time student,955,1045,2000,Bawgali(ST),MMR003004
 Household work,127,2218,2345,Bawgali(ST),MMR003004
" Pensioner, retired, elderly person",244,334,578,Bawgali(ST),MMR003004
" Ill, disabled",39,37,76,Bawgali(ST),MMR003004
 Other,241,152,393,Bawgali(ST),MMR003004
 Total,6387,6633,13020,Bawgali(ST),MMR003004
