Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2037,1090,3127,Myauk U,MMR012003
" Employee (Private, Org)",18044,6622,24666,Myauk U,MMR012003
 Employer,6133,1164,7297,Myauk U,MMR012003
 Own account worker,13752,7935,21687,Myauk U,MMR012003
 Contributing family worker,3550,6783,10333,Myauk U,MMR012003
 Sought work,5485,4363,9848,Myauk U,MMR012003
 Did not seek work,802,802,1604,Myauk U,MMR012003
 Full time student,11771,10585,22356,Myauk U,MMR012003
 Household work,807,37000,37807,Myauk U,MMR012003
" Pensioner, retired, elderly person",2780,5156,7936,Myauk U,MMR012003
" Ill, disabled",530,588,1118,Myauk U,MMR012003
 Other,2634,1386,4020,Myauk U,MMR012003
 Total,68325,83474,151799,Myauk U,MMR012003
