Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1841,2363,4204,Salingyi,MMR005018
" Employee (Private, Org)",12915,6986,19901,Salingyi,MMR005018
 Employer,917,510,1427,Salingyi,MMR005018
 Own account worker,13060,10630,23690,Salingyi,MMR005018
 Contributing family worker,3317,6262,9579,Salingyi,MMR005018
 Sought work,1159,1168,2327,Salingyi,MMR005018
 Did not seek work,158,60,218,Salingyi,MMR005018
 Full time student,6802,7267,14069,Salingyi,MMR005018
 Household work,556,15580,16136,Salingyi,MMR005018
" Pensioner, retired, elderly person",2887,4096,6983,Salingyi,MMR005018
" Ill, disabled",383,381,764,Salingyi,MMR005018
 Other,1975,1177,3152,Salingyi,MMR005018
 Total,45970,56480,102450,Salingyi,MMR005018
