Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2001,1911,3912,Ahlon,MMR013037
" Employee (Private, Org)",8215,5778,13993,Ahlon,MMR013037
 Employer,775,338,1113,Ahlon,MMR013037
 Own account worker,3549,2420,5969,Ahlon,MMR013037
 Contributing family worker,608,622,1230,Ahlon,MMR013037
 Sought work,755,544,1299,Ahlon,MMR013037
 Did not seek work,102,53,155,Ahlon,MMR013037
 Full time student,3312,3482,6794,Ahlon,MMR013037
 Household work,278,9009,9287,Ahlon,MMR013037
" Pensioner, retired, elderly person",1842,2156,3998,Ahlon,MMR013037
" Ill, disabled",139,146,285,Ahlon,MMR013037
 Other,1271,840,2111,Ahlon,MMR013037
 Total,22847,27299,50146,Ahlon,MMR013037
